"key","message","comment","context"
"Only use this menu-item if the given expression is true (ie `if` condition).","","",""
"Only use this menu-item if the given module is installed (ie `if-module` condition).","","",""
"Options","Опции","",""
"Orange","","",""
"Order","Заказ","",""
"Order by","Заказ от","",""
"Overview","Обзор","",""
"Owner","Владелец","",""
"Package","Упаковка","",""
"Padding","Отступ","",""
"Panel","Панель","",""
"Params","Параметры","",""
"Parent","Родитель","",""
"Parent menu","Меню родителя","",""
"Password","Пароль","",""
"Password doesn't match configured pattern.","","",""
"Pending","Ожидание","",""
"Permission","Разрешение","",""
"Permissions","Разрешения","",""
"Permissions (fields)","","",""
"Personal","Персональный","",""
"Personalized View","","",""
"Personalized Views","","",""
"Photo","Фото","",""
"Pink","","",""
"Placeholder","","",""
"Please change your password.","","",""
"Please log back in.","","",""
"Please refresh your browser to see updated views.","","",""
"Precision","Точность","",""
"Preferences","Предпочтения","",""
"Prefix","Префикс","",""
"Priority","Приоритет","",""
"Purple","","",""
"Read","Чтение","",""
"Readonly","Только чтение","",""
"Readonly if","Только чтение если","",""
"Recipients","Получатели","",""
"Record created","","",""
"Record updated","","",""
"Record was updated or deleted by another transaction","","",""
"Red","","",""
"Reference error","","",""
"Regex","","",""
"Related","","",""
"Related document id","","",""
"Related document model","","",""
"Related document name","","",""
"Related model","","",""
"Related name","","",""
"Related object","","",""
"Relationship","","",""
"Removable","","",""
"Remove","Удалить","",""
"Replies","","",""
"Required","Требуется","",""
"Required if","Требуется если","",""
"Restart jobs","Перезапустить задания","",""
"Restart the server for updates to take effect.","","",""
"Restore all…","","",""
"Role","","",""
"Roles","","",""
"Root","","",""
"Rule","","",""
"Rules","","",""
"SQL error","","",""
"Scale","","",""
"Schedule","Расписание","",""
"Schedules","Расписания","",""
"Schema","","",""
"Search","Поиск","",""
"Select","Выбор","",""
"Select Item","","",""
"Selection","","",""
"Selects","","",""
"Separator","","",""
"Sequence","","",""
"Sequence order","","",""
"Server expression to check whether to use this field.","","",""
"Shared","","",""
"Shared with me","","",""
"Show Model","","",""
"Show if","","",""
"Show in top menu","","",""
"Show permissions","","",""
"Single tab","","",""
"Size","Размер","",""
"Size in bytes","","",""
"Spacer","","",""
"Specify whether the members of this group are technical staff.","","",""
"Specify whether this action can be used as home action.","","",""
"Status","Статус","",""
"Stop service","","",""
"String","","",""
"Style","","",""
"Subject","","",""
"Subscribe","","",""
"Success","","",""
"Suffix","","",""
"Summary","","",""
"System notification","","",""
"Table","","",""
"Tag","","",""
"Tag count","","",""
"Tag label","","",""
"Tag method","","",""
"Tag style","","",""
"Tags","","",""
"Target custom model","","",""
"Target json model","","",""
"Target model","","",""
"Task","Задача","",""
"Task closed","Задача закрыта","",""
"Task created","Задача создана","",""
"Task date","Дата","",""
"Task deadline","Крайний срок","",""
"Task duration","Продолжительность","",""
"Tasks","Задачи","",""
"Tasks assigned to me","Назаначены мне","",""
"Tasks created by me","Созданные мной","",""
"Tasks due","","",""
"Tasks todo","","",""
"Teal","","",""
"Team","Команда","",""
"Teams","Команды","",""
"Teamwork","Командная работа","",""
"Technical staff","Технический персонал","",""
"The addition data for UI widgets","","",""
"The color to use for tags","","",""
"The image icon to show in UI widgets","","",""
"The module can't be uninstalled because other modules are pending. Please restart the server before.","","",""
"The module can't be uninstalled because other non-removable modules depend on it.","","",""
"The record(s) are referenced by other records, please remove all the references first.","","",""
"The record(s) can't be updated as it violates unique constraint.","","",""
"The scheduler service has been stopped.","","",""
"The scheduler service is disabled.","","",""
"The select item title","","",""
"The select item value","","",""
"Theme","Тема","",""
"This may terminate any running jobs. Are sure to continue ?","","",""
"This will update job with current settings. Are sure to continue ?","","",""
"Time","Время","",""
"Title","Заголовок","",""
"Tooltip","Подсказка","",""
"Top menu","","",""
"Topic","Тема","",""
"Topic closed","Тема закрыта","",""
"Topic created","Тема создана","",""
"Topic re-opened","Тема снова открыта","",""
"Topics","Темы","",""
"Translation","Перевод","",""
"Tree","","",""
"Type","Тип","",""
"Unexpected database error occurred on the server.","","",""
"Uninstall","","",""
"Unique constraint violation","","",""
"Unique message identifier","","",""
"Unread","","",""
"Unsubscribe","Отписаться","",""
"Update","Обновить","",""
"Updated by","Обновлено","",""
"Updated on","Обновлено","",""
"Urgent","Срочно","",""
"Used as home action","","",""
"User","Пользователь","",""
"User Management","Управление пользователями","",""
"User preferences","Предпочтения пользователей","",""
"Users","Пользователи","",""
"Valid cron. Next execution dates are :","","",""
"Validate","Подтвердить","",""
"Validation error","","",""
"Value","Значение","",""
"Value Expression","Значение выражения","",""
"Version","Версия","",""
"View","","",""
"View Help","","",""
"View Management","","",""
"Views","","",""
"Visibility","","",""
"Visible","","",""
"Visible in grid","","",""
"Warning","Предупреждение","",""
"Whether to grant create access.","","",""
"Whether to grant export access.","","",""
"Whether to grant read access.","","",""
"Whether to grant remove access.","","",""
"Whether to grant write access.","","",""
"Whether to show help messages.","","",""
"Whether to use tabbed ui.","","",""
"White","","",""
"Widget","","",""
"Widget Attributes","","",""
"Widget attrs","","",""
"Write","Запись","",""
"Wrong current password","Неверный текущий пароль","",""
"Wrong username or password","Неверное Имя или пароль","",""
"Xml","","",""
"Yellow","","",""
"You are not allowed to remove this filter","","",""
"You are not authorized to create this resource.","","",""
"You are not authorized to export the data.","","",""
"You are not authorized to read this resource.","","",""
"You are not authorized to remove this resource.","","",""
"You are not authorized to update this resource.","","",""
"You can't create document here.","","",""
"You can't move document here.","","",""
"Your password","Ваш пароль","",""
"action-attrs","","",""
"action-condition","","",""
"action-export","","",""
"action-group","","",""
"action-import","","",""
"action-method","","",""
"action-record","","",""
"action-report","","",""
"action-script","","",""
"action-validate","","",""
"action-view","","",""
"action-ws","","",""
"added comment","добавил комментарий","",""
"confirm password","подтвердить пароль","",""
"current password","текущий пароль","",""
"form::Select","","",""
"important","","",""
"login name","Имя для входа","",""
"new password","новый пароль","",""
"success","успешно","",""
"updated document","обновленный документ","",""
"user group","","",""
"user name","","",""
"user.password.pattern.title","","",""
"your password","","",""
"{0} customized view is deleted.","","",""
"{0} customized views are deleted.","","",""
