"key","message","comment","context"
"Edit event","Редактировать событие","",""
"Edit...","Редактировать...","",""
"Email","Электронная почта","",""
"Error","Ошибка","",""
"Expanded","Расширенный","",""
"Export","Экспорт","",""
"Export full","","",""
"Failed","Ошибка","",""
"Failed!","Ошибка!","",""
"False","Ложь","",""
"Feb","Фев","",""
"February","февраль","",""
"Field Name","","",""
"Field Type","","",""
"File upload","Файл загружен","",""
"File {0} does not exist.","Файл {0} не существует.","",""
"Filter","Фильтр","",""
"Filters","Фильтры","",""
"Filters ({0})","Фильтры ({0})","",""
"Folder","Папка","",""
"Follow: {0}","Подписаться: {0}","",""
"Followers","Подписчики","",""
"Font","Шрифт","",""
"Font size","Размер шрифта","",""
"Form","Форма","",""
"Formatted","Отформатирован","",""
"Fr","Пт","",""
"Free Memory","Свободная память","",""
"Fri","Птн","",""
"Friday","пятница","",""
"Gantt","Гант","",""
"Go","Вперёд","",""
"Grid","Сетка","",""
"Group by","Группировать","",""
"Grouped","Сгруппированно","",""
"Header 1","","",""
"Header 2","","",""
"Header 3","","",""
"Header 4","","",""
"Header 5","","",""
"Header 6","","",""
"Hide","Скрыть","",""
"Hide legend","","",""
"Home","Дом","",""
"Hour","Час","",""
"Hours","Часы","",""
"Indent","Отступ","",""
"Information","Информация","",""
"Insert image","Вставить изображение","",""
"Insert link","Вставить ссылку","",""
"Internal Server Error","","",""
"Invalid permissions","Недействительные разрешения","",""
"Invalid use of ""{0}"" action, must be the first action.","","",""
"Invalid use of ""{0}"" action, must be the last action.","","",""
"Italic (Ctrl+I)","","",""
"Jan","янв","",""
"January","январь","",""
"Java Runtime","","",""
"Java Version","","",""
"Jul","ил","",""
"July","июль","",""
"Jun","ин","",""
"June","июнь","",""
"Justify","","",""
"Kanban","Канбан","",""
"L","","",""
"Language","Язык","",""
"Large","Большой","",""
"Larger","Больше","",""
"Last access time","Время последнего доступа","",""
"Last modified...","Последнее изменение...","",""
"Left","лево","",""
"Link","ссылка","",""
"Loading","Загрузка","",""
"Log in","Войти","",""
"Log in attempt failed.","Попытка входа не удалась.","",""
"Log in time","Время входа","",""
"Log in with %s","Войти через %s","",""
"Log out","Выйти","",""
"Mar","мрт","",""
"March","март","",""
"Mark as important","Отметить как важное","",""
"Mark as not important","Отметить как неважное","",""
"Mark as read","Отметить как прочитанное","",""
"Mark as unread","Отметить как непрочитанное","",""
"Mass Update","","",""
"Max Memory","Максимальный объем памяти","",""
"May","май","",""
"Medium","Средний","",""
"Memory Information","Информация о памяти","",""
"Milestone","Этап","",""
"Minute","Минута","",""
"Minutes","Минуты","",""
"Mo","ПН","",""
"Modified","Изменен","",""
"Mon","пон","",""
"Monday","понедельник","",""
"Month","Месяц","",""
"Months","Месяцы","",""
"More","Еще","",""
"More actions","Еще дейсвия","",""
"More...","Еще...","",""
"Move to archive","Переместить в архив","",""
"Move to inbox","Переместить во входящие","",""
"My Filters","Мои фильтры","",""
"N/A","","",""
"New","Новый","",""
"New Document","Новый документ","",""
"New Folder","Новая папка","",""
"New Spreadsheet","Новая таблица","",""
"New password","Новый пароль","",""
"New password must be different.","","",""
"New task","Новая задача","",""
"Next","Следующий","",""
"No","Нет","",""
"No documents found.","Документов не найдено","",""
"No filters available","Нет доступных фильтров","",""
"No records found.","Записей не найдено","",""
"No results found","Результатов не найдено","",""
"Normal","Нормальный","",""
"Normalize","Нормализовать","",""
"Nov","ноя","",""
"November","ноябрь","",""
"Now","Сейчас","",""
"OK","OK","",""
"Object","Объект","",""
"Oct","окт","",""
"October","октябрь","",""
"Offline!","","",""
"Operating System","","",""
"Ordered list","Заказанный список","",""
"Organize favorites...","Организовать избранное ...","",""
"Orig. Value","Начальное значение","",""
"Outdent","","",""
"Owner","Владелец","",""
"Password","Пароль","",""
"Pending","В ожидании","",""
"Permissions","Разрешения","",""
"Permissions ({0})","Разрешения ({0})","",""
"Permissions...","Разрешения...","",""
"Please change your password.","Пожалуйста измените Ваш пароль.","",""
"Please correct the invalid form values.","Исправьте неверные значения формы.","",""
"Please disable the adblocker as it may slow down the application.","","",""
"Please sign in","Пожалуйста войдите","",""
"Please wait...","Пожалуйста подождите...","",""
"Post","Почта","",""
"Preferences","Предпочтения","",""
"Prev","Предыдущий","",""
"Print","Печать","",""
"Project","Проект","",""
"Question","Вопрос","",""
"Recipients","Получатели","",""
"Reference","Ссылка","",""
"Refresh","Обновить","",""
"Remember me","Запомнить меня","",""
"Remove","Удалить","",""
"Remove format","Удалить формат","",""
"Rename...","Переименовать...","",""
"Report attached to current object. Would you like to download?","Отчет прикреплен к текущему объекту. Вы хотите скачать?","",""
"Retry","Повторить","",""
"Right","Правильно","",""
"Sa","Сб","",""
"Sat","суб","",""
"Saturday","суббота","",""
"Save","Сохранить","",""
"Save as","Сохранить как","",""
"Save filter as","Сохранить фильтр как","",""
"Search","Поиск","",""
"Search Objects","","",""
"Search more...","","",""
"Search...","Поиск...","",""
"Second","Второй","",""
"Select","Выбрать","",""
"Select ""{0}""...","Выбрать ""{0}""...","",""
"Send","Отправить","",""
"Sep","сен","",""
"September","сентябрь","",""
"Server is not responding.","","",""
"Share","Поделиться","",""
"Show","Показать","",""
"Show Details","Показать детали","",""
"Show archived","","",""
"Show legend","","",""
"Show translations.","","",""
"Small","Маленький","",""
"Smaller","Меньше","",""
"Sort Ascending","","",""
"Sort Descending","","",""
"Spreadsheet","Таблица","",""
"Stack %","Сложить %","",""
"Stacked","Сложены","",""
"Start time","Время начала","",""
"Stream","Поток","",""
"Strikethrough (Ctrl+S)","","",""
"Style","Стиль","",""
"Su","Вс","",""
"Subject","Предмет","",""
"Submit","Представить","",""
"Success","Успешно","",""
"Sun","ВС","",""
"Sunday","воскресенье","",""
"System Information","","",""
"Task","Задача","",""
"Task name","Имя задачи","",""
"Task will be deleted permanently, are you sure?","Задача будет удалена навсегда. Вы уверены ?","",""
"Tasks due","Задачи, которые должны быть выполнены","",""
"Tasks todo","Задачи сейчас","",""
"Text color","Цвет текста","",""
"Th","Чт","",""
"The following fields are invalid:","Следующие поля недействительны:","",""
"The record has been updated or delete by another action.","Запись была обновлена или удалена другим действием.","",""
"The {0}={1} event can't call 'save' action on unsaved o2m item.","","",""
"There are some invalid rows.","Есть некоторые недопустимые строки.","",""
"Thu","ЧТ","",""
"Thursday","четверг","",""
"Time period","Период времени","",""
"Today","Сегодня","",""
"Toggle","Переключить","",""
"Total Memory","","",""
"Translation","Перевод","",""
"Translations","Переводы","",""
"True","Верно","",""
"Tu","Вт","",""
"Tue","ВТ","",""
"Tuesday","вторник","",""
"Type","Тип","",""
"Unarchive","","",""
"Underline (Ctrl+U)","","",""
"Ungroup","","",""
"Unknown","","",""
"Unordered list","","",""
"Update","Обновить","",""
"Update all","Обновить все","",""
"Update your browser!","","",""
"Updated By:","Обновлено:","",""
"Updated On:","Обновлено:","",""
"Upload complete","Загрузка завершена","",""
"Uploading files...","Загрузка файлов...","",""
"Used Memory","","",""
"User","Пользователь","",""
"Username","Имя пользователя","",""
"Validation error","Ошибка проверки","",""
"Value","Значение","",""
"View","Просмотр","",""
"Warning","Внимание","",""
"Warning!","Внимание!","",""
"We","Ср","",""
"Wed","СР","",""
"Wednesday","Среда","",""
"Week","Неделя","",""
"Wk","нд","",""
"Would you like to reload the current record?","Хотите перезагрузить текущую запись?","",""
"Would you like to remove the filter?","Вы хотите удалить фильтр?","",""
"Write your comment here","Напишите свой комментарий здесь","",""
"Year","Год","",""
"Years","Годы","",""
"Yes","Да","",""
"You are not allow to upload a file bigger than","Вы не можете загружать файл больше, чем","",""
"You can't create document here.","Вы не можете создать здесь документ.","",""
"[Last] dddd [at] LT","","",""
"[Today at] LT","","",""
"[Tomorrow at] LT","","",""
"[Yesterday at] LT","","",""
"a day","дней","",""
"a few seconds","секунд","",""
"a minute","минут","",""
"a month","месяцев","",""
"a year","лет","",""
"an hour","часов","",""
"and","и","",""
"and {0} more","и {0} еще","",""
"contains","содержит","",""
"dddd [at] LT","","",""
"doesn't contain","не содержит","",""
"equals","","",""
"greater or equal","больше или равны","",""
"greater than","нечто большее","",""
"in","в пределах","",""
"in %s","в пределах %s","",""
"in range","в диапазоне","",""
"is false","это ложь","",""
"is not null","не является нулевым","",""
"is null","равняется нулю","",""
"is true","это правда","",""
"less or equal","менее или равный","",""
"less than","не особо","",""
"load more","загрузить больше","",""
"name","имя","",""
"no tasks","нет задач","",""
"not equal","не равно","",""
"not in","не в","",""
"not in range","не в диапазоне","",""
"or","или","",""
"replies ({0} of {1})","ответы ({0} из {1})","",""
"value","значение","",""
"will be deleted","будет удален","",""
"{0} of {1}","{0} из {1}","",""
"{0} records exported.","{0} записей экспортировано","",""
"{0} task","{0} задача","",""
"{0} tasks","{0} задач","",""
"{0} to {1} of {2}","{0} в {1} из {2}","",""
